EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 16:59:02"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal1_cofF03
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF03_seal100
StartYear,1974

Data,KemptonsQ

TimeStep,Value
1,0.6134971
2,0.6105371
3,0.6071423
4,0.6037514
5,0.6006363
6,0.5978647
7,0.5954234
8,0.5932714
9,0.5913607
10,0.5896482
11,0.5881002
12,0.5866852
13,0.5852381
14,0.5839444
15,0.5817462
16,0.5816968
17,0.5811949
18,0.5808248
19,0.5806466
20,0.5806408
21,0.5807714
22,0.5809932
23,0.5812598
24,0.5815274
25,0.5765061
26,0.5769441
27,0.5790309
28,0.5756559
29,0.5744238
30,0.5735708
31,0.572916
32,0.5724083
33,0.5720183
34,0.5717101
35,0.5714696
36,0.571269
37,0.5659673
38,0.5658655
39,0.5660776
40,0.566162
41,0.5663896
42,0.5666235
43,0.5668821
44,0.5671494
45,0.5674467
46,0.5677772
47,0.5681398
48,0.5685345
49,0.5645794
50,0.5652032
51,0.5659052
52,0.5670706
53,0.5681257
54,0.5691823
55,0.5702409
56,0.5712926
57,0.5723274
58,0.5733529
59,0.5735846
60,0.5738051
61,0.570737
62,0.5708714
63,0.5687363
64,0.5716147
65,0.5725273
66,0.5731868
67,0.5736094
68,0.5740452
69,0.5745005
70,0.5749503
71,0.5753998
72,0.5758468
73,0.5747037
74,0.5747538
75,0.5688189
76,0.5732771
77,0.572971
78,0.5719196
79,0.5708278
80,0.5699061
81,0.5692131
82,0.5687497
83,0.5684931
84,0.5684108
85,0.5669217
86,0.5674156
87,0.5726709
88,0.5698181
89,0.5699194
90,0.5702315
91,0.5704081
92,0.5704629
93,0.570419
94,0.5702881
95,0.5700952
96,0.569865
97,0.569876
98,0.5687609
99,0.56473
100,0.5667943
101,0.5664242
102,0.5657272
103,0.5651891
104,0.5646289
105,0.5640697
106,0.5635338
107,0.5630261
108,0.562539
109,0.5632429
110,0.5632905
111,0.5672259
112,0.5632296
113,0.5627505
114,0.5627992
115,0.5633171
116,0.5637724
117,0.5642107
118,0.5646362
119,0.5650331
120,0.5653915
121,0.5687724
122,0.5696409
123,0.571451
124,0.5704703
125,0.5700075
126,0.569699
127,0.5694471
128,0.5692618
129,0.5691343
130,0.5690221
131,0.5687086
132,0.5684439
133,0.5722256
134,0.5726457
135,0.5709365
136,0.5750505
137,0.5772818
138,0.579405
139,0.581898
140,0.5843878
141,0.5867993
142,0.5890816
143,0.5911931
144,0.5930927
145,0.600476
146,0.6008288
147,0.5964647
148,0.597392
149,0.5952376
150,0.5951609
151,0.5953112
152,0.595127
153,0.5946431
154,0.5938348
155,0.592654
156,0.5910184
157,0.595941
158,0.596064
159,0.599831
160,0.6037682
161,0.6081789
162,0.6127959
163,0.6171794
164,0.6213804
165,0.6252825
166,0.6288349
167,0.6320519
168,0.6349811
169,0.6459538
170,0.6472738
171,0.6462283
172,0.645051
173,0.6426902
174,0.6400882
175,0.6382375
176,0.6368347
177,0.6359728
178,0.6356497
179,0.6357895
180,0.6363096
181,0.6460837
182,0.6474944
183,0.6522563
184,0.6520914
185,0.6531515
186,0.6542458
187,0.6518748
188,0.6484054
189,0.6450573
190,0.6418576
191,0.6388174
192,0.6359303
193,0.6412057
194,0.6376088
195,0.6334321
196,0.630874
197,0.6282979
198,0.6260688
199,0.6242015
200,0.6226816
201,0.6214432
202,0.6204278
203,0.6195794
204,0.6188549
205,0.6271849
206,0.6284922
207,0.6310997
208,0.6326756
209,0.6348298
210,0.6369091
211,0.6386703
212,0.6401065
213,0.6412097
214,0.642026
215,0.6426146
216,0.6430241
217,0.6508741
218,0.6487735
219,0.648101
220,0.6522081
221,0.6558934
222,0.6592969
223,0.6624142
224,0.6648791
225,0.6664935
226,0.6671212
227,0.6666912
228,0.6652084
229,0.6730481
230,0.6711638
231,0.6701853
232,0.6657735
233,0.6620418
234,0.6582858
235,0.6545942
236,0.6512084
237,0.648237
238,0.6457185
239,0.6436361
240,0.6419454
241,0.6495681
242,0.6487492
243,0.6500393
244,0.6483911
245,0.648501
246,0.6488264
247,0.6491966
248,0.6495842
249,0.6500139
250,0.6504729
251,0.6509481
252,0.6514283
253,0.6583101
254,0.6564563
255,0.6520492
256,0.6537489
257,0.6531972
258,0.652418
259,0.6516414
260,0.6509418
261,0.6503061
262,0.6497197
263,0.6491733
264,0.6486651
265,0.6591818
266,0.6621549
267,0.6642364
268,0.6691259
269,0.6732886
270,0.6774549
271,0.6816254
272,0.6856034
273,0.6892974
274,0.6926374
275,0.695581
276,0.6981016
277,0.7093456
278,0.711523
279,0.7142579
280,0.7171842
281,0.7226824
282,0.7283654
283,0.7344894
284,0.7405831
285,0.7466279
286,0.7525997
287,0.7584886
288,0.7642708
289,0.780164
290,0.7835363
291,0.7793736
292,0.7773905
293,0.7733445
294,0.7687412
295,0.7633075
296,0.7574133
297,0.7510138
298,0.7441548
299,0.7369615
300,0.7296054
301,0.7297519
302,0.7187983
303,0.7076286
304,0.6984407
305,0.6903008
306,0.6831551
307,0.6761774
308,0.6700323
309,0.6645747
310,0.6611625
311,0.6583866
312,0.6558222
313,0.6640032
314,0.6670642
315,0.6707286
316,0.6749296
317,0.6793215
318,0.6838543
319,0.6882688
320,0.6925204
321,0.6964832
322,0.7000688
323,0.7032785
324,0.706172
325,0.7169918
326,0.7187957
327,0.7198732
328,0.7211365
329,0.7261087
330,0.732985
331,0.73876
332,0.7445015
333,0.750034
334,0.7552109
335,0.7598864
336,0.7639248
337,0.7772534
338,0.7799409
339,0.7815377
340,0.7823077
341,0.7820247
342,0.7807658
343,0.7811385
344,0.7803353
345,0.7785313
346,0.7759739
347,0.7729353
348,0.769687
349,0.7749903
350,0.7678419
351,0.7615098
352,0.7530488
353,0.7463783
354,0.7407829
355,0.7359395
356,0.7315162
357,0.727269
358,0.7230263
359,0.7186858
360,0.7142107
361,0.7172978
362,0.714656
363,0.7128885
364,0.712294
365,0.7118533
366,0.7117035
367,0.7117464
368,0.7146405
369,0.7183906
370,0.7219107
371,0.7250633
372,0.7278018
373,0.7384071
374,0.7408687
375,0.7430547
376,0.7493539
377,0.7559545
378,0.7629074
379,0.7708902
380,0.7791236
381,0.7875329
382,0.796052
383,0.8046087
384,0.8122138
385,0.829665
386,0.837493
387,0.8453819
388,0.8529349
389,0.8584138
390,0.8615807
391,0.858985
392,0.8545632
393,0.8485287
394,0.8412251
395,0.8330727
396,0.8244944
397,0.8230076
398,0.8133926
399,0.805847
400,0.7987881
