EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 16:59:01"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal1_cofF03
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF03_seal100
StartYear,1974

Data,Mortality

Year,Cyanobacteria,Phytoplankton,microzooplankton,"Temora sp","Acartia sp","Pseudocalanus sp.","other mesozooplankton",Mysids,meiozoobenthos,macrozoobenthos,JuvSprat,AdSprat,JuvHerring,AdHerring,"Cod larvae",JuvCod,"Small Cod",AdCod,SealJuv,SealAd,"Detritus-water column",Detritus-sediment
1974,151.3997,160.4953,99.23376,20.58108,22.01898,8.384421,18.44523,5.248518,5.469374,1.920617,1.515941,0.7760722,1.566382,0.4401003,0.414073,1.124136,0.4173705,0.8495097,0.1944718,0.1090162,0,0
1975,151.5735,154.9546,101.9707,28.19092,28.71322,11.61438,21.02228,7.74746,5.460893,1.92665,1.654128,0.8123224,1.614527,0.4651412,0.4570166,0.998946,0.4456351,0.8234279,0.1588766,0.09399859,0,0
1976,151.6646,165.8712,100.4771,27.00254,26.71909,11.39098,20.00589,7.211792,5.446764,1.94296,1.868297,0.8368862,1.857014,0.461431,0.9195738,1.084205,0.3258459,0.9763334,0.1205138,0.0704699,0,0
1977,151.8279,161.1645,103.3316,28.39117,27.44974,12.38785,20.94158,8.259849,5.454258,1.976756,1.69906,0.8705803,1.654313,0.4829712,1.071482,0.9812239,0.2692636,0.8743117,0.1074404,0.06004926,0,0
1978,151.5381,158.404,102.4056,27.37209,26.85874,12.56959,20.80391,8.683421,5.477564,2.018632,2.251136,0.9743962,2.17645,0.521951,1.060757,1.134492,0.2988049,0.7375502,0.07448673,0.04011992,0,0
1979,151.4733,158.1408,101.7517,23.55536,23.2466,10.62611,19.7574,7.307203,5.491167,2.051915,2.314959,1.086136,2.102643,0.5938817,1.068223,1.171288,0.371776,0.7659789,0.04759465,0.02497694,0,0
1980,151.6941,165.5921,101.1668,22.64188,22.93958,9.774728,19.16621,6.944994,5.482512,2.035206,1.980906,1.130583,1.751943,0.6077056,0.7035962,1.091447,0.3771072,0.9183297,0.03827094,0.02018254,0,0
1981,151.8592,164.0529,103.0934,28.48576,28.1623,12.60709,20.82273,10.11117,5.480046,2.003222,1.998095,1.063665,1.805255,0.6195599,0.526851,0.9868124,0.3555916,0.8465199,0.04225339,0.02229861,0,0
1982,151.8214,165.2558,102.8775,28.91024,28.48936,13.63671,20.94161,11.13719,5.481177,2.001444,2.047215,0.9907286,2.39123,0.579555,1.050971,1.024585,0.4167454,0.8170808,0.03782792,0.02042357,0,0
1983,152.0463,162.4277,104.9547,26.03885,25.9453,11.61903,20.50947,8.052346,5.492533,2.004628,1.757687,0.9463409,1.889148,0.599368,1.054142,0.9559956,0.4058155,0.8595309,0.03571313,0.01890066,0,0
1984,151.9148,164.4869,103.0991,27.08167,26.73192,12.05775,20.43933,8.291616,5.4981,2.035142,2.002678,0.9671273,1.835779,0.5950524,1.068908,0.9354872,0.4542947,0.9874436,0.04189439,0.02196594,0,0
1985,150.5952,150.0811,97.9845,32.06442,26.77172,12.58274,21.01759,9.588927,5.516182,2.062931,3.089793,1.111401,2.83716,0.6326194,1.099671,1.075246,0.5090357,0.8790761,0.0391752,0.02092676,0,0
