EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 16:04:16"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF03
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF03_seal0
StartYear,1974

Data,FeedingTime

TimeStep,Cyanobacteria,Phytoplankton,microzooplankton,"Temora sp","Acartia sp","Pseudocalanus sp.","other mesozooplankton",Mysids,meiozoobenthos,macrozoobenthos,JuvSprat,AdSprat,JuvHerring,AdHerring,"Cod larvae",JuvCod,"Small Cod",AdCod,SealJuv,SealAd,"Detritus-water column",Detritus-sediment
1,1,1,1,1,1,1,1,1,1,1,0.9995816,1,0.999754,1,0.9998762,0.9997568,0.9998289,1,0.9995429,0.9995021,1,1
2,1,1,1,1,1,1,1,1,1,1,0.9504435,1,0.9614523,1,0.9697694,0.9919212,0.9888276,1,0.9934934,0.9948378,1,1
3,1,1,1,1,1,1,1,1,1,1,0.8757142,1,0.8968362,1,0.9118397,0.9741731,0.9679386,1,0.9846515,0.9894453,1,1
4,1,1,1,1,1,1,1,1,1,1,0.8049794,1,0.8293551,1,0.8455797,0.9483718,0.9426537,1,0.9755417,0.9851064,1,1
5,1,1,1,1,1,1,1,1,1,1,0.7488722,1,0.7702037,1,0.7830426,0.9176447,0.9166793,1,0.9671417,0.9819269,1,1
6,1,1,1,1,1,1,1,1,1,1,0.7087984,1,0.7229593,1,0.7304341,0.8851938,0.8917578,1,0.9594089,0.9793351,1,1
7,1,1,1,1,1,1,1,1,1,1,0.6828378,1,0.6876736,1,0.6899227,0.8536674,0.8684286,1,0.9518257,0.9766068,1,1
8,1,1,1,1,1,1,1,1,1,1,0.668346,1,0.6630721,1,0.6614586,0.8249477,0.8467063,1,0.943809,0.9731137,1,1
9,1,1,1,1,1,1,1,1,1,1,0.6629486,1,0.6475912,1,0.6440712,0.8001935,0.8264425,1,0.9348984,0.9684058,1,1
10,1,1,1,1,1,1,1,1,1,1,0.6648244,1,0.6398116,1,0.6366247,0.7799945,0.807461,1,0.9247766,0.962194,1,1
11,1,1,1,1,1,1,1,1,1,1,0.6726972,1,0.638602,1,0.638201,0.7645457,0.7895914,1,0.9132089,0.9542846,1,1
12,1,1,1,1,1,1,1,1,1,1,0.6857256,1,0.6431336,1,0.6482243,0.753794,0.7726753,1,0.8999781,0.9445103,1,1
13,1,1,1,1,1,1,1,1,1,1,0.7033715,1,0.6528406,1,0.6663588,0.7475451,0.7565698,1,0.8848513,0.9326863,1,1
14,1,1,1,1,1,1,1,1,1,1,0.7261425,1,0.668115,1,0.6943687,0.7463886,0.7413414,1,0.8680179,0.9194167,1,1
15,1,1,1,1,1,1,1,1,1,1,0.7569419,1,0.6909371,1,0.7267749,0.7501099,0.7277414,1,0.849391,0.9040179,1,1
16,1,1,1,1,1,1,1,1,1,1,0.7937486,1,0.7199996,1,0.7405412,0.7581046,0.7152073,1,0.8285216,0.8859527,1,1
17,1,1,1,1,1,1,1,1,1,1,0.8348075,1,0.7540745,1,0.7713817,0.7695354,0.7033466,1,0.8053616,0.865162,1,1
18,1,1,1,1,1,1,1,1,1,1,0.8787082,1,0.7921528,1,0.8168501,0.7837,0.6920223,1,0.780276,0.841972,1,1
19,1,1,1,1,1,1,1,1,1,1,0.9240643,1,0.8332478,1,0.8755397,0.7998734,0.6812916,1,0.7539572,0.8170002,1,1
20,1,1,1,1,1,1,1,1,1,1,0.9690905,1,0.8762244,1,0.9464456,0.8173076,0.6714799,1,0.727439,0.791058,1,1
21,1,1,1,1,1,1,1,1,1,1,1.011566,1,0.9196754,1,1.028881,0.8352513,0.6630085,1,0.7018357,0.7650111,1,1
22,1,1,1,1,1,1,1,1,1,1,1.049038,1,0.9618835,1,1.121985,0.8529848,0.6562365,1,0.6780877,0.7396649,1,1
23,1,1,1,1,1,1,1,1,1,1,1.079131,1,1.000878,1,1.224293,0.8698503,0.6513857,1,0.656834,0.7156805,1,1
