EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 16:27:56"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF03
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF03_seal100
StartYear,1974

Data,FIB

TimeStep,Value
1,-0.04486174
2,-0.03693337
3,-0.02672839
4,-0.01530392
5,-0.003404817
6,0.008533867
7,0.02029495
8,0.03179713
9,0.04303719
10,0.05405304
11,0.06489857
12,0.07562377
13,0.1047368
14,0.1147236
15,0.1237077
16,0.1317877
17,0.1388917
18,0.1448591
19,0.1496308
20,0.1531713
21,0.1554912
22,0.1566891
23,0.1569558
24,0.1565308
25,0.1170105
26,0.1230714
27,0.1331492
28,0.1457702
29,0.1595805
30,0.1736627
31,0.188364
32,0.2027376
33,0.2167276
34,0.2304051
35,0.243858
36,0.2571806
37,0.2044258
38,0.2162528
39,0.2272042
40,0.2375069
41,0.2471969
42,0.2562075
43,0.2620382
44,0.2667912
45,0.2705399
46,0.2733744
47,0.2754081
48,0.2767812
49,0.2352794
50,0.2319868
51,0.2272987
52,0.2219412
53,0.2164146
54,0.2110458
55,0.2067945
56,0.2032467
57,0.2004654
58,0.1984901
59,0.197334
60,0.1969834
61,0.2467464
62,0.2468008
63,0.2470879
64,0.2477189
65,0.2487144
66,0.2500662
67,0.2494016
68,0.2487168
69,0.2479415
70,0.2470111
71,0.2459019
72,0.2445832
73,0.2794646
74,0.2799137
75,0.2819762
76,0.2848312
77,0.2879106
78,0.290831
79,0.2938182
80,0.2962791
81,0.2981863
82,0.2995995
83,0.3006387
84,0.3014212
85,0.2926751
86,0.2947903
87,0.296915
88,0.2991989
89,0.3017545
90,0.3046333
91,0.306316
92,0.3082991
93,0.3104744
94,0.3126954
95,0.3148156
96,0.3167372
97,0.2821233
98,0.2871926
99,0.2923873
100,0.2974897
101,0.3023185
102,0.3067306
103,0.3076696
104,0.3082172
105,0.3084467
106,0.3084733
107,0.3084344
108,0.3084711
109,0.3534535
110,0.3535809
111,0.3529192
112,0.3520389
113,0.3511618
114,0.3503733
115,0.3502715
116,0.3515825
117,0.3540821
118,0.357484
119,0.3614565
120,0.3657234
121,0.4333249
122,0.4306076
123,0.4290966
124,0.4284109
125,0.4283213
126,0.4286806
127,0.4323863
128,0.4357378
129,0.4387782
130,0.4415712
131,0.4442144
132,0.4467995
133,0.4154468
134,0.4061554
135,0.3926754
136,0.3769305
137,0.3601677
138,0.3432359
139,0.3214332
140,0.300627
141,0.2811445
142,0.2632513
143,0.2471435
144,0.2330056
145,0.2756666
146,0.2642198
147,0.2585615
148,0.2573161
149,0.259216
150,0.2631494
151,0.2735299
152,0.2834549
153,0.2925512
154,0.3006126
155,0.3075993
156,0.3134408
157,0.3483687
158,0.3374
159,0.3184278
160,0.2948223
161,0.2689821
162,0.2424906
163,0.2160915
164,0.1905952
165,0.1662842
166,0.1432574
167,0.1215172
168,0.1010345
169,0.08797807
170,0.07216453
171,0.06053801
172,0.05188121
173,0.04507851
174,0.03949602
175,0.03274645
176,0.02704037
177,0.02215006
178,0.01790858
179,0.01419392
180,0.01091701
181,0.0956915
182,0.09025927
183,0.08624488
184,0.08325407
185,0.08097452
186,0.07916574
187,0.07818218
188,0.07762075
189,0.07720943
190,0.07676866
191,0.07609144
192,0.07526486
193,0.07034117
194,0.07220206
195,0.07461651
196,0.07740214
197,0.08038537
198,0.0834085
199,0.08496638
200,0.08630101
201,0.08742128
202,0.08836145
203,0.08918618
204,0.08995996
205,0.1015828
206,0.09436795
207,0.08567728
208,0.07650232
209,0.0675464
210,0.05930166
211,0.05707924
212,0.05664247
213,0.05793478
214,0.06084828
215,0.06520176
216,0.07082642
217,0.02799469
218,0.04082341
219,0.0566058
220,0.0743631
221,0.09317602
222,0.112237
223,0.131267
224,0.1493052
225,0.1659686
226,0.1810065
227,0.194252
228,0.2056136
229,0.2927411
230,0.2970037
231,0.2982593
232,0.2969877
233,0.2935951
234,0.2884268
235,0.2817486
236,0.2738363
237,0.2649423
238,0.2553208
239,0.2452222
240,0.2348719
241,0.2989638
242,0.2869469
243,0.2764601
244,0.2672739
245,0.2591282
246,0.2518281
247,0.2436761
248,0.2361158
249,0.2291209
250,0.2226726
251,0.2167462
252,0.2113373
253,0.2181105
254,0.2191595
255,0.2212486
256,0.224188
257,0.2279038
258,0.2323001
259,0.2367649
260,0.2413221
261,0.2458481
262,0.2502462
263,0.2544343
264,0.2583658
265,0.2958178
266,0.2862556
267,0.2740069
268,0.2603446
269,0.2461157
270,0.2319242
271,0.2138508
272,0.1966777
273,0.1808278
274,0.1666441
275,0.1543215
276,0.1440012
277,0.1235816
278,0.1204213
279,0.1183896
280,0.1172317
281,0.1167428
282,0.1167326
283,0.1157582
284,0.1149025
285,0.1140531
286,0.1131213
287,0.112083
288,0.1108198
289,0.1697337
290,0.174461
291,0.1816399
292,0.1898687
293,0.1981458
294,0.2058197
295,0.2116829
296,0.2161416
297,0.2190978
298,0.2205629
299,0.2206336
300,0.2194741
301,0.1942404
302,0.1979439
303,0.2041013
304,0.211691
305,0.2200142
306,0.228639
307,0.2346809
308,0.2408287
309,0.2472169
310,0.2539091
311,0.2608852
312,0.2680611
313,0.2918302
314,0.2824655
315,0.2672218
316,0.248592
317,0.2282339
318,0.2072377
319,0.1885401
320,0.1710435
321,0.1553881
322,0.1420479
323,0.1312806
324,0.1231319
325,0.1283913
326,0.1266384
327,0.1275898
328,0.1307942
329,0.1357701
330,0.1420376
331,0.1462824
332,0.1508659
333,0.1555057
334,0.1600272
335,0.1642915
336,0.1682022
337,0.1547117
338,0.1557368
339,0.1559496
340,0.1554684
341,0.1543583
342,0.1526536
343,0.1540632
344,0.1548791
345,0.1550316
346,0.1545216
347,0.153407
348,0.1517922
349,0.08474818
350,0.08967047
351,0.09932462
352,0.1123038
353,0.127312
354,0.143283
355,0.1597639
356,0.1757476
357,0.1907942
358,0.2046166
359,0.2170414
360,0.2279708
361,0.1754176
362,0.1764401
363,0.1710546
364,0.161529
365,0.1494949
366,0.1361204
367,0.121766
368,0.1079462
369,0.09537513
370,0.08451355
371,0.0756711
372,0.06899167
373,0.03089299
374,0.02844278
375,0.02720866
376,0.02715596
377,0.02816091
378,0.03000782
379,0.03285417
380,0.03596352
381,0.039009
382,0.04184099
383,0.04434346
384,0.04649502
385,0.06857542
386,0.06975454
387,0.07072359
388,0.07148751
389,0.07204437
390,0.07238378
391,0.06839399
392,0.0644781
393,0.06053516
394,0.05648417
395,0.05229534
396,0.04795554
397,0.08911606
398,0.08531886
399,0.08037646
400,0.07478922
401,0.06892698
402,0.06306349
403,0.05795624
404,0.05325922
405,0.04906129
406,0.04541191
407,0.04231675
408,0.03979464
409,0.03349356
410,0.0396123
411,0.04945248
412,0.06167358
413,0.07497848
414,0.08829326
415,0.1016658
416,0.1139385
417,0.1246971
418,0.1337353
419,0.1409831
420,0.1464704
421,0.1590407
422,0.1597034
423,0.1588813
424,0.1568741
425,0.1539722
426,0.1504333
427,0.1464491
428,0.1426953
429,0.1394715
430,0.136977
431,0.1353517
432,0.1347003
433,0.04524048
434,0.03677559
435,0.0264881
436,0.01544698
437,0.004522638
438,-0.0056209
439,-0.01246744
440,-0.01783199
441,-0.02150875
442,-0.02342866
443,-0.02367243
444,-0.02245194
445,-0.05177625
446,-0.0529578
447,-0.05420629
448,-0.05543194
449,-0.05660507
450,-0.05772013
451,-0.05941087
452,-0.06116762
453,-0.0629909
454,-0.06487581
455,-0.06679098
456,-0.06874751
457,-0.08846112
458,-0.08525644
