EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:45:08"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF1
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF1_seal0
StartYear,1974

Data,TL

Year,Cyanobacteria,Phytoplankton,microzooplankton,"Temora sp","Acartia sp","Pseudocalanus sp.","other mesozooplankton",Mysids,meiozoobenthos,macrozoobenthos,JuvSprat,AdSprat,JuvHerring,AdHerring,"Cod larvae",JuvCod,"Small Cod",AdCod,SealJuv,SealAd,"Detritus-water column",Detritus-sediment
1974,1,1,2,2.191916,2.204377,2.299258,2.195894,2.512436,2,2.098222,3.21606,3.224862,3.287763,3.304318,3.278106,3.380055,3.826781,4.023219,4.473588,4.552692,1,1
1975,1,1,2,2.202834,2.214682,2.313118,2.206635,2.44571,2,2.101475,3.227509,3.236424,3.284754,3.302139,3.292578,3.386491,3.912038,4.077487,4.448165,4.52133,1,1
1976,1,1,2,2.203563,2.222687,2.319555,2.209561,2.433214,2,2.104056,3.231065,3.239281,3.275378,3.295553,3.298195,3.395292,3.938373,4.093174,4.486968,4.562682,1,1
1977,1,1,2,2.210366,2.227612,2.326967,2.215817,2.43039,2,2.108105,3.237426,3.246001,3.285108,3.302299,3.30557,3.389982,3.919838,4.09653,4.551984,4.619998,1,1
1978,1,1,2,2.21301,2.227731,2.328479,2.217701,2.424336,2,2.111307,3.238352,3.247084,3.27556,3.293346,3.305921,3.369514,3.925248,4.092755,4.729893,4.786808,1,1
1979,1,1,2,2.212041,2.225328,2.326168,2.216292,2.44801,2,2.113013,3.237862,3.247336,3.283847,3.299706,3.304677,3.341028,3.844889,4.055034,4.815575,4.84811,1,1
1980,1,1,2,2.209121,2.227068,2.325908,2.214779,2.44854,2,2.113826,3.238542,3.24794,3.289836,3.30622,3.306362,3.340331,3.813172,4.037179,4.837151,4.864194,1,1
1981,1,1,2,2.212882,2.230978,2.330864,2.21859,2.410994,2,2.115898,3.241125,3.249789,3.280266,3.296886,3.310644,3.362613,3.897422,4.075711,4.843472,4.883181,1,1
1982,1,1,2,2.214346,2.233752,2.333706,2.220446,2.40108,2,2.117817,3.241308,3.249182,3.265476,3.283096,3.310916,3.386785,3.95621,4.098888,4.863863,4.909088,1,1
1983,1,1,2,2.214036,2.230202,2.330937,2.219166,2.442821,2,2.119829,3.239755,3.248165,3.28047,3.296494,3.307879,3.366814,3.897407,4.06846,4.889001,4.92679,1,1
