EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:34:59"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal1_cofF1
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF1_seal1
StartYear,1974

Data,FIB

TimeStep,Value
1,-0.04486182
2,-0.03693348
3,-0.02672846
4,-0.01530399
5,-0.003404852
6,0.008533833
7,0.02029492
8,0.0317971
9,0.04303716
10,0.05405301
11,0.06489854
12,0.07562377
13,0.1047368
14,0.1147236
15,0.1237077
16,0.1317877
17,0.1388918
18,0.1448592
19,0.1496308
20,0.1531714
21,0.1554912
22,0.1566892
23,0.1569558
24,0.1565309
25,0.1170105
26,0.1230714
27,0.1331491
28,0.1457702
29,0.1595805
30,0.1736627
31,0.188364
32,0.2027376
33,0.2167276
34,0.2304051
35,0.243858
36,0.2571805
37,0.2044258
38,0.2162528
39,0.2272041
40,0.2375069
41,0.247197
42,0.2562075
43,0.2620382
44,0.2667912
45,0.27054
46,0.2733744
47,0.2754081
48,0.2767812
49,0.2352794
50,0.2319868
51,0.2272987
52,0.2219413
53,0.2164146
54,0.2110458
55,0.2067945
56,0.2032467
57,0.2004654
58,0.1984901
59,0.197334
60,0.1969834
61,0.2467464
62,0.2468008
63,0.247088
64,0.2477189
65,0.2487144
66,0.2500662
67,0.2494016
68,0.248717
69,0.2479416
70,0.2470111
71,0.245902
72,0.2445833
73,0.2794647
74,0.2799138
75,0.2819763
76,0.2848312
77,0.2879106
78,0.290831
79,0.2938183
80,0.2962792
81,0.2981863
82,0.2995996
83,0.3006388
84,0.3014212
85,0.2926752
86,0.2947903
87,0.2969151
88,0.2991989
89,0.3017545
90,0.3046334
91,0.306316
92,0.3082992
93,0.3104744
94,0.3126955
95,0.3148156
96,0.3167372
97,0.2821233
98,0.2871926
99,0.2923874
100,0.2974899
101,0.3023186
102,0.3067307
103,0.3076696
104,0.3082172
105,0.3084468
106,0.3084734
107,0.3084345
108,0.3084711
109,0.3534535
110,0.3535809
111,0.3529192
112,0.3520389
113,0.3511617
114,0.3503732
115,0.3502715
116,0.3515826
117,0.354082
118,0.3574838
119,0.3614565
120,0.3657234
121,0.4333249
122,0.4306076
123,0.4290966
124,0.4284109
125,0.4283212
126,0.4286806
127,0.4323862
128,0.4357377
129,0.4387781
130,0.4415712
131,0.4442143
132,0.4467993
133,0.4154467
134,0.4061552
135,0.3926753
136,0.3769304
137,0.3601676
138,0.3432359
139,0.3214331
140,0.3006269
141,0.2811445
142,0.2632512
143,0.2471435
144,0.2330056
145,0.2756666
146,0.2642198
147,0.2585615
148,0.2573161
149,0.259216
150,0.2631494
151,0.2735299
152,0.2834549
153,0.2925511
154,0.3006125
155,0.3075993
156,0.3134409
157,0.3483686
158,0.3374
159,0.3184277
160,0.2948222
161,0.268982
162,0.2424906
163,0.2160915
164,0.1905952
165,0.1662842
166,0.1432574
167,0.1215172
168,0.1010345
169,0.08797812
170,0.07216458
171,0.060538
172,0.05188121
173,0.04507854
174,0.03949609
175,0.03274649
176,0.0270404
177,0.02215006
178,0.01790858
179,0.01419392
180,0.01091701
181,0.0956915
182,0.0902593
183,0.08624485
184,0.08325404
185,0.08097452
186,0.07916571
187,0.07818215
188,0.07762078
189,0.07720943
190,0.07676869
191,0.07609138
192,0.07526486
193,0.07034123
194,0.07220206
195,0.07461651
196,0.07740214
197,0.0803854
198,0.0834085
199,0.08496638
200,0.08630101
201,0.08742128
202,0.08836144
203,0.08918621
204,0.08995996
205,0.1015828
206,0.09436795
207,0.08567731
208,0.07650232
209,0.06754643
210,0.05930158
211,0.05707924
212,0.05664256
213,0.05793475
214,0.06084831
215,0.06520179
216,0.07082639
