EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 16:04:33"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF03
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF03_seal0
StartYear,1974

Data,TL

TimeStep,Cyanobacteria,Phytoplankton,microzooplankton,"Temora sp","Acartia sp","Pseudocalanus sp.","other mesozooplankton",Mysids,meiozoobenthos,macrozoobenthos,JuvSprat,AdSprat,JuvHerring,AdHerring,"Cod larvae",JuvCod,"Small Cod",AdCod,SealJuv,SealAd,"Detritus-water column",Detritus-sediment
1,1,1,2,2.181838,2.189095,2.281817,2.184195,2.480514,2,2.097963,3.20341,3.212674,3.263546,3.278868,3.261731,3.337692,3.805963,3.996259,4.478525,4.55082,1,1
2,1,1,2,2.181065,2.191526,2.283343,2.184423,2.491239,2,2.097915,3.203253,3.211849,3.263338,3.279952,3.262265,3.346661,3.811374,4.000226,4.477312,4.551779,1,1
3,1,1,2,2.184217,2.196259,2.288789,2.188064,2.504406,2,2.097831,3.207045,3.215446,3.269369,3.286646,3.267219,3.35865,3.819307,4.008027,4.477111,4.554088,1,1
4,1,1,2,2.187898,2.200745,2.294297,2.191994,2.515777,2,2.097778,3.21131,3.21973,3.276988,3.294512,3.272511,3.370186,3.824651,4.014892,4.476802,4.55584,1,1
5,1,1,2,2.191035,2.20427,2.29874,2.195252,2.523345,2,2.097785,3.214966,3.223494,3.284303,3.301765,3.276958,3.379871,3.827259,4.020143,4.476297,4.556803,1,1
6,1,1,2,2.193409,2.206808,2.30199,2.197679,2.52719,2,2.097858,3.217779,3.226438,3.290561,3.307778,3.280342,3.387344,3.828145,4.024104,4.475592,4.557023,1,1
7,1,1,2,2.195107,2.208552,2.304255,2.199392,2.527937,2,2.097993,3.219832,3.228613,3.295522,3.312411,3.282799,3.392691,3.82846,4.02734,4.474633,4.556514,1,1
8,1,1,2,2.1963,2.209736,2.305812,2.200583,2.526208,2,2.098182,3.221303,3.230186,3.299174,3.315725,3.284562,3.396157,3.829118,4.030359,4.47337,4.555274,1,1
9,1,1,2,2.197153,2.210557,2.306905,2.201427,2.522491,2,2.098415,3.222371,3.231332,3.3016,3.317847,3.285855,3.398025,3.830741,4.033526,4.471766,4.553305,1,1
10,1,1,2,2.197799,2.211168,2.307724,2.202063,2.517145,2,2.098681,3.223182,3.232198,3.30291,3.31891,3.286858,3.398574,3.833712,4.037063,4.469786,4.55061,1,1
11,1,1,2,2.198335,2.211671,2.308401,2.20259,2.510429,2,2.098972,3.223842,3.232893,3.303216,3.319044,3.287701,3.398065,3.838239,4.041081,4.467377,4.547193,1,1
12,1,1,2,2.198825,2.212137,2.309023,2.203073,2.502547,2,2.099281,3.224425,3.233493,3.302624,3.318362,3.288471,3.396752,3.844399,4.045606,4.464487,4.54306,1,1
13,1,1,2,2.20126,2.213836,2.31163,2.205284,2.504342,2,2.099633,3.226289,3.235324,3.303884,3.319763,3.290581,3.398907,3.856132,4.052996,4.463515,4.541059,1,1
14,1,1,2,2.201854,2.213959,2.312042,2.205734,2.491338,2,2.099996,3.226958,3.236102,3.301828,3.317529,3.291391,3.395206,3.865464,4.058457,4.458744,4.534914,1,1
15,1,1,2,2.20191,2.213752,2.311914,2.205709,2.478969,2,2.100362,3.226954,3.236108,3.298352,3.314114,3.291457,3.391454,3.875128,4.063134,4.454014,4.528698,1,1
16,1,1,2,2.201886,2.213598,2.311784,2.205645,2.46634,2,2.100721,3.226863,3.235983,3.294187,3.310164,3.291474,3.387976,3.885833,4.067853,4.449233,4.522514,1,1
17,1,1,2,2.201973,2.213635,2.311859,2.205716,2.453948,2,2.101066,3.226887,3.23595,3.289796,3.306123,3.291658,3.385125,3.897341,4.072642,4.444798,4.516913,1,1
18,1,1,2,2.202216,2.213875,2.312172,2.205959,2.442312,2,2.101396,3.227065,3.236061,3.285474,3.302262,3.29204,3.38308,3.909165,4.077349,4.441162,4.51246,1,1
19,1,1,2,2.202597,2.214279,2.312685,2.206347,2.431891,2,2.101711,3.227371,3.236294,3.281413,3.298751,3.29257,3.381874,3.920759,4.081789,4.438763,4.509679,1,1
20,1,1,2,2.203072,2.21479,2.313329,2.206834,2.423209,2,2.10201,3.227746,3.236594,3.277751,3.29568,3.293162,3.381481,3.931508,4.085776,4.438109,4.509061,1,1
