EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:44:29"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF1
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF1_seal0
StartYear,1974

Data,Biomass

Year,Cyanobacteria,Phytoplankton,microzooplankton,"Temora sp","Acartia sp","Pseudocalanus sp.","other mesozooplankton",Mysids,meiozoobenthos,macrozoobenthos,JuvSprat,AdSprat,JuvHerring,AdHerring,"Cod larvae",JuvCod,"Small Cod",AdCod,SealJuv,SealAd,"Detritus-water column",Detritus-sediment
1974,3.077798,12.77159,3.712284,2.609596,1.725747,4.541496,6.060741,3.966669,4.876349,28.18287,1.876496,5.367202,6.747928,6.542039,0.0002241768,0.1198596,0.6785759,0.6086367,3.949999E-07,0.0014575,3291.815,4805.354
1975,3.07202,12.47685,3.910285,2.047383,1.439406,3.697955,5.653628,3.259345,5.462885,29.99879,2.967246,5.970866,10.4982,7.708597,0.0001954245,0.1489537,0.7906452,0.8474376,3.949999E-07,0.0014575,3346.635,5111.039
1976,3.067147,16.5943,4.941869,2.027953,1.696482,4.149245,7.686086,2.840941,6.14034,31.80321,2.818616,7.222696,12.10438,8.526528,0.0003457435,0.1713498,1.006477,1.056247,3.54E-07,0.001306117,3417.87,5487.141
1977,3.061356,15.61615,4.920469,1.956698,1.710813,4.058566,7.528515,3.226697,7.075243,34.14409,2.400828,7.930866,12.51938,12.13531,0.0003456303,0.2533143,1.34972,1.320973,3.2E-07,0.001181002,3505.729,5937.287
1978,3.072759,14.34469,4.680899,1.758228,1.606417,3.626346,6.858854,2.085995,7.773725,35.78794,2.327556,6.775168,11.19267,12.61379,0.0003216842,0.2682469,1.723421,1.902521,2.93E-07,0.001082155,3543.622,6233.553
1979,3.075427,13.72014,4.49838,1.850245,1.792625,4.115613,6.984811,2.686432,8.205738,36.66222,1.544768,6.059719,7.961195,12.80343,0.0003412483,0.282417,2.075564,2.264746,2.74E-07,0.001009576,3557.192,6416.502
1980,3.066233,16.45755,5.116715,2.00523,2.036639,5.079246,8.59684,3.709882,8.607315,37.73917,1.789838,5.449042,8.631064,12.6133,0.0002921743,0.2499864,2.088274,2.520728,2.61E-07,0.0009632641,3595.443,6642.04
1981,3.060106,16.67987,5.302573,1.922375,1.78991,4.342775,8.276431,2.743677,9.220962,39.93419,2.395971,5.138088,15.45877,11.3376,0.0002862117,0.1848363,2.105953,2.805914,2.56E-07,0.0009432202,3653.763,6952.52
1982,3.060896,17.63972,5.604217,1.857051,1.751297,3.87763,8.4689,1.258138,9.834511,42.03873,2.165725,5.415979,19.12511,9.214558,0.0003214855,0.2549072,1.750197,3.394128,2.57E-07,0.0009494442,3700.48,7256.763
1983,3.052128,15.8332,5.13615,2.298313,1.840622,4.334541,8.075177,2.65612,10.38102,43.83562,2.209691,6.413326,15.96553,10.84038,0.0003900339,0.2636318,1.652993,3.290782,2.66E-07,0.0009819361,3728.999,7494.141
1984,3.057416,16.2169,5.206557,2.078197,1.794788,4.206938,8.096058,2.991751,10.69463,44.57118,2.712864,6.421764,12.63579,13.60143,0.0003746249,0.3480193,1.970417,2.744437,2.82E-07,0.001040695,3736.595,7635.553
