EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 16:05:38"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF03
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF03_seal0
StartYear,1974

Data,FeedingTime

TimeStep,Cyanobacteria,Phytoplankton,microzooplankton,"Temora sp","Acartia sp","Pseudocalanus sp.","other mesozooplankton",Mysids,meiozoobenthos,macrozoobenthos,JuvSprat,AdSprat,JuvHerring,AdHerring,"Cod larvae",JuvCod,"Small Cod",AdCod,SealJuv,SealAd,"Detritus-water column",Detritus-sediment
1,1,1,1,1,1,1,1,1,1,1,0.9995816,1,0.999754,1,0.9998762,0.9997568,0.9998289,1,0.9995429,0.9995021,1,1
2,1,1,1,1,1,1,1,1,1,1,0.9504426,1,0.9614519,1,0.9697689,0.9919218,0.9888278,1,0.9934934,0.9948379,1,1
3,1,1,1,1,1,1,1,1,1,1,0.8757133,1,0.896836,1,0.9118391,0.9741738,0.967939,1,0.9846515,0.9894454,1,1
4,1,1,1,1,1,1,1,1,1,1,0.8049787,1,0.829355,1,0.8455791,0.9483727,0.942654,1,0.9755417,0.9851066,1,1
5,1,1,1,1,1,1,1,1,1,1,0.7488717,1,0.7702037,1,0.7830421,0.9176454,0.9166797,1,0.9671418,0.981927,1,1
6,1,1,1,1,1,1,1,1,1,1,0.7087981,1,0.7229593,1,0.7304337,0.8851945,0.8917582,1,0.9594089,0.9793351,1,1
7,1,1,1,1,1,1,1,1,1,1,0.6828376,1,0.6876736,1,0.6899224,0.853668,0.8684288,1,0.9518257,0.9766068,1,1
8,1,1,1,1,1,1,1,1,1,1,0.6683459,1,0.6630722,1,0.6614584,0.8249481,0.8467064,1,0.9438089,0.9731137,1,1
9,1,1,1,1,1,1,1,1,1,1,0.6629485,1,0.6475912,1,0.644071,0.8001938,0.8264425,1,0.9348983,0.9684058,1,1
10,1,1,1,1,1,1,1,1,1,1,0.6648244,1,0.6398116,1,0.6366246,0.7799947,0.807461,1,0.9247765,0.962194,1,1
11,1,1,1,1,1,1,1,1,1,1,0.6726972,1,0.638602,1,0.6382009,0.7645457,0.7895914,1,0.9132088,0.9542847,1,1
