EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 16:05:38"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF03
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF03_seal0
StartYear,1974

Data,CatchFleetGroup

TimeStep,Fleet,Group,Value
1,1,17,0.010358
1,1,18,0.0209917
1,2,13,0.05251176
1,2,14,0.07169046
1,3,11,0.00632841
1,3,12,0.04840577
2,1,17,0.01053139
2,1,18,0.02146255
2,2,13,0.05481432
2,2,14,0.07306006
2,3,11,0.00676989
2,3,12,0.05054508
3,1,17,0.01073726
3,1,18,0.02197786
3,2,13,0.05756412
3,2,14,0.07492319
3,3,11,0.007211945
3,3,12,0.05320947
4,1,17,0.0109563
4,1,18,0.02252791
4,2,13,0.06031348
4,2,14,0.07715084
4,3,11,0.007563632
4,3,12,0.0560726
5,1,17,0.01117577
5,1,18,0.02310392
5,2,13,0.06291025
5,2,14,0.07960818
5,3,11,0.00782168
5,3,12,0.0588777
6,1,17,0.01138958
6,1,18,0.02370044
6,2,13,0.06537791
6,2,14,0.08217622
6,3,11,0.008021277
6,3,12,0.06145979
7,1,17,0.01159598
7,1,18,0.02431539
7,2,13,0.06781323
7,2,14,0.08475745
7,3,11,0.008205762
7,3,12,0.06373005
8,1,17,0.01179533
8,1,18,0.02494921
8,2,13,0.07032992
8,2,14,0.08727465
8,3,11,0.008413198
8,3,12,0.06565184
9,1,17,0.01198885
9,1,18,0.02560394
9,2,13,0.07303213
9,2,14,0.08966769
9,3,11,0.008671797
9,3,12,0.06722046
10,1,17,0.01217812
10,1,18,0.02628252
10,2,13,0.07600213
10,2,14,0.09189021
10,3,11,0.008998998
10,3,12,0.06844885
11,1,17,0.0123648
11,1,18,0.02698845
11,2,13,0.07929435
11,2,14,0.09390692
11,3,11,0.00940189
11,3,12,0.06935868
12,1,17,0.01255059
12,1,18,0.02772547
12,2,13,0.08293188
12,2,14,0.0956917
12,3,11,0.009878137
12,3,12,0.06997529
13,1,17,0.017136
13,1,18,0.02712073
13,2,13,0.0917269
13,2,14,0.1014944
13,3,11,0.006693827
13,3,12,0.0714149
14,1,17,0.01728472
14,1,18,0.0279208
14,2,13,0.09587502
14,2,14,0.10263
14,3,11,0.007046668
14,3,12,0.07136177
15,1,17,0.01743246
15,1,18,0.02874383
15,2,13,0.09999654
15,2,14,0.1034049
15,3,11,0.007398267
15,3,12,0.07099219
16,1,17,0.01758464
16,1,18,0.02959269
16,2,13,0.1040294
16,2,14,0.1038511
16,3,11,0.00775123
16,3,12,0.07039278
17,1,17,0.01774525
17,1,18,0.03046939
17,2,13,0.1078474
17,2,14,0.1040043
17,3,11,0.008097176
17,3,12,0.06963134
18,1,17,0.01791638
18,1,18,0.03137363
18,2,13,0.1112996
18,2,14,0.1039053
18,3,11,0.008423029
18,3,12,0.06876692
19,1,17,0.01810377
19,1,18,0.03230232
19,2,13,0.1142437
19,2,14,0.1036
19,3,11,0.008689299
19,3,12,0.06796312
20,1,17,0.01830779
20,1,18,0.03324903
20,2,13,0.1165743
20,2,14,0.1031392
20,3,11,0.008866968
20,3,12,0.06735773
21,1,17,0.01852735
21,1,18,0.03420432
21,2,13,0.1182383
21,2,14,0.1025777
21,3,11,0.008947454
21,3,12,0.06702831
22,1,17,0.01876072
22,1,18,0.03515669
22,2,13,0.1192379
22,2,14,0.1019735
22,3,11,0.008937656
22,3,12,0.06700879
23,1,17,0.01900615
23,1,18,0.03609378
23,2,13,0.119622
23,2,14,0.1013856
23,3,11,0.008853833
23,3,12,0.06730394
24,1,17,0.0192624
24,1,18,0.03700362
24,2,13,0.1194677
24,2,14,0.1008721
24,3,11,0.008717003
24,3,12,0.06789129
25,1,17,0.01241491
25,1,18,0.04909086
25,2,13,0.09375154
25,2,14,0.09726572
25,3,11,0.006061071
25,3,12,0.07858498
26,1,17,0.01272205
26,1,18,0.04963018
26,2,13,0.09481841
26,2,14,0.09774673
26,3,11,0.006075101
26,3,12,0.08063377
27,1,17,0.01308335
27,1,18,0.050198
27,2,13,0.09659805
27,2,14,0.09888744
27,3,11,0.006136008
27,3,12,0.08363638
28,1,17,0.01347954
28,1,18,0.05076963
28,2,13,0.09854604
28,2,14,0.1006533
28,3,11,0.006170534
28,3,12,0.08729466
29,1,17,0.01389985
29,1,18,0.0513343
29,2,13,0.1002925
29,2,14,0.1029604
29,3,11,0.006135479
29,3,12,0.09124681
30,1,17,0.01433693
30,1,18,0.0518865
30,2,13,0.1016939
30,2,14,0.1057108
30,3,11,0.006025063
30,3,12,0.09517774
31,1,17,0.01471274
31,1,18,0.05242626
31,2,13,0.1026747
31,2,14,0.1089549
31,3,11,0.005786022
31,3,12,0.09933219
32,1,17,0.0150872
32,1,18,0.05295734
32,2,13,0.1033159
32,2,14,0.1126803
32,3,11,0.005529318
32,3,12,0.1030115
33,1,17,0.0154618
33,1,18,0.05349259
33,2,13,0.10371
33,2,14,0.116843
33,3,11,0.005279331
33,3,12,0.1061223
34,1,17,0.01583725
34,1,18,0.05404766
34,2,13,0.1039428
34,2,14,0.1214132
34,3,11,0.005054571
34,3,12,0.1086336
35,1,17,0.01621323
35,1,18,0.05463918
35,2,13,0.1041025
35,2,14,0.1263426
35,3,11,0.004869311
35,3,12,0.1105399
36,1,17,0.01658911
36,1,18,0.05528327
36,2,13,0.1042728
36,2,14,0.1315654
36,3,11,0.004731353
36,3,12,0.1118663
37,1,17,0.01124357
37,1,18,0.04797475
37,2,13,0.1043229
37,2,14,0.1334209
37,3,11,0.01063189
37,3,12,0.07099303
38,1,17,0.0115292
38,1,18,0.04901072
38,2,13,0.1040037
38,2,14,0.1384097
38,3,11,0.01041022
38,3,12,0.07100505
39,1,17,0.01180442
39,1,18,0.05012253
39,2,13,0.1036352
39,2,14,0.1431904
39,3,11,0.01029397
39,3,12,0.0705677
40,1,17,0.01207094
40,1,18,0.05132003
40,2,13,0.1033221
40,2,14,0.1477101
40,3,11,0.01029908
40,3,12,0.06980335
41,1,17,0.01232998
41,1,18,0.05260939
41,2,13,0.1030911
41,2,14,0.1519187
41,3,11,0.0104149
41,3,12,0.06881505
42,1,17,0.01258193
42,1,18,0.05399388
42,2,13,0.1029227
42,2,14,0.1557741
42,3,11,0.01062236
42,3,12,0.06767964
43,1,17,0.01292108
43,1,18,0.05550793
43,2,13,0.1037404
43,2,14,0.1577873
43,3,11,0.0109845
43,3,12,0.06630074
44,1,17,0.01325509
44,1,18,0.05716488
44,2,13,0.1044189
44,2,14,0.1593652
44,3,11,0.0113518
44,3,12,0.06493451
45,1,17,0.013578
45,1,18,0.05896057
45,2,13,0.1049287
45,2,14,0.1605282
45,3,11,0.01169139
45,3,12,0.0636491
46,1,17,0.01388714
46,1,18,0.06088076
46,2,13,0.1052471
46,2,14,0.161312
46,3,11,0.01198009
46,3,12,0.06248855
47,1,17,0.01418449
47,1,18,0.06290195
47,2,13,0.1053626
47,2,14,0.1617625
47,3,11,0.01220304
47,3,12,0.06148067
48,1,17,0.01447265
48,1,18,0.06499495
48,2,13,0.1052731
48,2,14,0.1619355
48,3,11,0.01234934
48,3,12,0.0606457
49,1,17,0.01736691
49,1,18,0.0487217
49,2,13,0.1117726
49,2,14,0.1442511
49,3,11,0.007340534
49,3,12,0.06415689
50,1,17,0.01766047
