EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 16:58:41"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal1_cofF03
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF03_seal100
StartYear,1974

Data,ValueFleetGroup

TimeStep,Fleet,Group,Value
1,1,17,0.01035801
1,1,18,0.0209917
1,2,13,0.05251172
1,2,14,0.07169045
1,3,11,0.006328399
1,3,12,0.04840574
2,1,17,0.01053139
2,1,18,0.02146255
2,2,13,0.0548143
2,2,14,0.07306005
2,3,11,0.006769881
2,3,12,0.05054505
3,1,17,0.01073726
3,1,18,0.02197786
3,2,13,0.05756411
3,2,14,0.07492318
3,3,11,0.007211939
3,3,12,0.05320944
4,1,17,0.0109563
4,1,18,0.02252791
4,2,13,0.06031347
4,2,14,0.07715084
4,3,11,0.007563628
4,3,12,0.05607256
5,1,17,0.01117577
5,1,18,0.02310392
5,2,13,0.06291025
5,2,14,0.07960818
5,3,11,0.007821676
5,3,12,0.05887767
6,1,17,0.01138958
6,1,18,0.02370044
6,2,13,0.06537791
6,2,14,0.08217622
6,3,11,0.008021275
6,3,12,0.06145976
7,1,17,0.01159598
7,1,18,0.02431539
7,2,13,0.06781323
7,2,14,0.08475745
7,3,11,0.00820576
7,3,12,0.06373002
8,1,17,0.01179533
8,1,18,0.02494921
8,2,13,0.07032992
8,2,14,0.08727465
8,3,11,0.008413196
8,3,12,0.06565183
9,1,17,0.01198885
9,1,18,0.02560394
9,2,13,0.07303212
9,2,14,0.08966769
9,3,11,0.008671794
9,3,12,0.06722044
10,1,17,0.01217812
10,1,18,0.02628252
10,2,13,0.07600213
10,2,14,0.09189022
10,3,11,0.008998994
10,3,12,0.06844883
11,1,17,0.0123648
11,1,18,0.02698844
11,2,13,0.07929435
11,2,14,0.09390693
11,3,11,0.009401887
11,3,12,0.06935867
12,1,17,0.01255059
12,1,18,0.02772547
12,2,13,0.08293188
12,2,14,0.09569172
12,3,11,0.009878132
12,3,12,0.06997528
13,1,17,0.017136
13,1,18,0.02712073
13,2,13,0.0917269
13,2,14,0.1014944
13,3,11,0.006693822
13,3,12,0.07141489
14,1,17,0.01728473
14,1,18,0.0279208
14,2,13,0.09587503
14,2,14,0.10263
14,3,11,0.007046665
14,3,12,0.07136176
15,1,17,0.01743246
15,1,18,0.02874382
15,2,13,0.09999654
15,2,14,0.1034049
15,3,11,0.007398263
15,3,12,0.07099219
16,1,17,0.01758464
16,1,18,0.02959268
16,2,13,0.1040295
16,2,14,0.1038511
16,3,11,0.007751226
16,3,12,0.07039277
17,1,17,0.01774526
17,1,18,0.03046939
17,2,13,0.1078474
17,2,14,0.1040043
17,3,11,0.008097171
17,3,12,0.06963133
18,1,17,0.01791639
18,1,18,0.03137362
18,2,13,0.1112996
18,2,14,0.1039053
18,3,11,0.008423024
18,3,12,0.06876691
19,1,17,0.01810378
19,1,18,0.03230232
19,2,13,0.1142437
19,2,14,0.1036
19,3,11,0.008689296
19,3,12,0.06796312
20,1,17,0.0183078
20,1,18,0.03324903
20,2,13,0.1165743
20,2,14,0.1031392
20,3,11,0.008866965
20,3,12,0.06735773
21,1,17,0.01852736
21,1,18,0.03420432
21,2,13,0.1182383
21,2,14,0.1025777
21,3,11,0.008947452
21,3,12,0.06702829
22,1,17,0.01876073
22,1,18,0.03515669
22,2,13,0.1192379
22,2,14,0.1019735
22,3,11,0.008937652
22,3,12,0.06700877
23,1,17,0.01900616
23,1,18,0.03609377
23,2,13,0.1196221
23,2,14,0.1013856
23,3,11,0.008853831
23,3,12,0.06730392
24,1,17,0.01926241
24,1,18,0.03700362
24,2,13,0.1194677
24,2,14,0.1008721
24,3,11,0.008717003
24,3,12,0.06789126
25,1,17,0.01241492
25,1,18,0.04909085
25,2,13,0.09375156
25,2,14,0.09726571
25,3,11,0.00606107
